Annual Income Private (min.) /Revenu privé annuel (min.),Annual Income Private (max.) /Revenu privé annuel (max.),GAINS / RRAG,Total OAS/GIS /SV/SRG total,OAS / SV,GIS / SRG,Total Monthly Income (min.) /Revenu mensuel total (min.),Total Monthly Income (max.) /Revenu mensuel total (max.) ,Monthly Income Private (min.) /Revenu privé mensuel (min.),Monthly Income Private (max.) /Revenu privé mensuel (max.)
0,23.99,83,"1,850.14",784.67,"1,065.47","1,933.14","1,935.13",0,1.99
24,47.99,82,"1,849.14",784.67,"1,064.47","1,933.14","1,935.13",2,3.99
48,71.99,81,"1,848.14",784.67,"1,063.47","1,933.14","1,935.13",4,5.99
72,95.99,80,"1,847.14",784.67,"1,062.47","1,933.14","1,935.13",6,7.99
96,119.99,79,"1,846.14",784.67,"1,061.47","1,933.14","1,935.13",8,9.99
120,143.99,78,"1,845.14",784.67,"1,060.47","1,933.14","1,935.13",10,11.99
144,167.99,77,"1,844.14",784.67,"1,059.47","1,933.14","1,935.13",12,13.99
168,191.99,76,"1,843.14",784.67,"1,058.47","1,933.14","1,935.13",14,15.99
192,215.99,75,"1,842.14",784.67,"1,057.47","1,933.14","1,935.13",16,17.99
216,239.99,74,"1,841.14",784.67,"1,056.47","1,933.14","1,935.13",18,19.99
240,263.99,73,"1,840.14",784.67,"1,055.47","1,933.14","1,935.13",20,21.99
264,287.99,72,"1,839.14",784.67,"1,054.47","1,933.14","1,935.13",22,23.99
288,311.99,71,"1,838.14",784.67,"1,053.47","1,933.14","1,935.13",24,25.99
312,335.99,70,"1,837.14",784.67,"1,052.47","1,933.14","1,935.13",26,27.99
336,359.99,69,"1,836.14",784.67,"1,051.47","1,933.14","1,935.13",28,29.99
360,383.99,68,"1,835.14",784.67,"1,050.47","1,933.14","1,935.13",30,31.99
384,407.99,67,"1,834.14",784.67,"1,049.47","1,933.14","1,935.13",32,33.99
408,431.99,66,"1,833.14",784.67,"1,048.47","1,933.14","1,935.13",34,35.99
432,455.99,65,"1,832.14",784.67,"1,047.47","1,933.14","1,935.13",36,37.99
456,479.99,64,"1,831.14",784.67,"1,046.47","1,933.14","1,935.13",38,39.99
480,503.99,63,"1,830.14",784.67,"1,045.47","1,933.14","1,935.13",40,41.99
504,527.99,62,"1,829.14",784.67,"1,044.47","1,933.14","1,935.13",42,43.99
528,551.99,61,"1,828.14",784.67,"1,043.47","1,933.14","1,935.13",44,45.99
552,575.99,60,"1,827.14",784.67,"1,042.47","1,933.14","1,935.13",46,47.99
576,599.99,59,"1,826.14",784.67,"1,041.47","1,933.14","1,935.13",48,49.99
600,623.99,58,"1,825.14",784.67,"1,040.47","1,933.14","1,935.13",50,51.99
624,647.99,57,"1,824.14",784.67,"1,039.47","1,933.14","1,935.13",52,53.99
648,671.99,56,"1,823.14",784.67,"1,038.47","1,933.14","1,935.13",54,55.99
672,695.99,55,"1,822.14",784.67,"1,037.47","1,933.14","1,935.13",56,57.99
696,719.99,54,"1,821.14",784.67,"1,036.47","1,933.14","1,935.13",58,59.99
720,743.99,53,"1,820.14",784.67,"1,035.47","1,933.14","1,935.13",60,61.99
744,767.99,52,"1,819.14",784.67,"1,034.47","1,933.14","1,935.13",62,63.99
768,791.99,51,"1,818.14",784.67,"1,033.47","1,933.14","1,935.13",64,65.99
792,815.99,50,"1,817.14",784.67,"1,032.47","1,933.14","1,935.13",66,67.99
816,839.99,49,"1,816.14",784.67,"1,031.47","1,933.14","1,935.13",68,69.99
840,863.99,48,"1,815.14",784.67,"1,030.47","1,933.14","1,935.13",70,71.99
864,887.99,47,"1,814.14",784.67,"1,029.47","1,933.14","1,935.13",72,73.99
888,911.99,46,"1,813.14",784.67,"1,028.47","1,933.14","1,935.13",74,75.99
912,935.99,45,"1,812.14",784.67,"1,027.47","1,933.14","1,935.13",76,77.99
936,959.99,44,"1,811.14",784.67,"1,026.47","1,933.14","1,935.13",78,79.99
960,983.99,43,"1,810.14",784.67,"1,025.47","1,933.14","1,935.13",80,81.99
984,"1,007.99",42,"1,809.14",784.67,"1,024.47","1,933.14","1,935.13",82,83.99
"1,008.00","1,031.99",41,"1,808.14",784.67,"1,023.47","1,933.14","1,935.13",84,85.99
"1,032.00","1,055.99",40,"1,807.14",784.67,"1,022.47","1,933.14","1,935.13",86,87.99
"1,056.00","1,079.99",39,"1,806.14",784.67,"1,021.47","1,933.14","1,935.13",88,89.99
"1,080.00","1,103.99",38,"1,805.14",784.67,"1,020.47","1,933.14","1,935.13",90,91.99
"1,104.00","1,127.99",37,"1,804.14",784.67,"1,019.47","1,933.14","1,935.13",92,93.99
"1,128.00","1,151.99",36,"1,803.14",784.67,"1,018.47","1,933.14","1,935.13",94,95.99
"1,152.00","1,175.99",35,"1,802.14",784.67,"1,017.47","1,933.14","1,935.13",96,97.99
"1,176.00","1,199.99",34,"1,801.14",784.67,"1,016.47","1,933.14","1,935.13",98,99.99
"1,200.00","1,223.99",33,"1,800.14",784.67,"1,015.47","1,933.14","1,935.13",100,101.99
"1,224.00","1,247.99",32,"1,799.14",784.67,"1,014.47","1,933.14","1,935.13",102,103.99
"1,248.00","1,271.99",31,"1,798.14",784.67,"1,013.47","1,933.14","1,935.13",104,105.99
"1,272.00","1,295.99",30,"1,797.14",784.67,"1,012.47","1,933.14","1,935.13",106,107.99
"1,296.00","1,319.99",29,"1,796.14",784.67,"1,011.47","1,933.14","1,935.13",108,109.99
"1,320.00","1,343.99",28,"1,795.14",784.67,"1,010.47","1,933.14","1,935.13",110,111.99
"1,344.00","1,367.99",27,"1,794.14",784.67,"1,009.47","1,933.14","1,935.13",112,113.99
"1,368.00","1,391.99",26,"1,793.14",784.67,"1,008.47","1,933.14","1,935.13",114,115.99
"1,392.00","1,415.99",25,"1,792.14",784.67,"1,007.47","1,933.14","1,935.13",116,117.99
"1,416.00","1,439.99",24,"1,791.14",784.67,"1,006.47","1,933.14","1,935.13",118,119.99
"1,440.00","1,463.99",23,"1,790.14",784.67,"1,005.47","1,933.14","1,935.13",120,121.99
"1,464.00","1,487.99",22,"1,789.14",784.67,"1,004.47","1,933.14","1,935.13",122,123.99
"1,488.00","1,511.99",21,"1,788.14",784.67,"1,003.47","1,933.14","1,935.13",124,125.99
"1,512.00","1,535.99",20,"1,787.14",784.67,"1,002.47","1,933.14","1,935.13",126,127.99
"1,536.00","1,559.99",19,"1,786.14",784.67,"1,001.47","1,933.14","1,935.13",128,129.99
"1,560.00","1,583.99",18,"1,785.14",784.67,"1,000.47","1,933.14","1,935.13",130,131.99
"1,584.00","1,607.99",17,"1,784.14",784.67,999.47,"1,933.14","1,935.13",132,133.99
"1,608.00","1,631.99",16,"1,783.14",784.67,998.47,"1,933.14","1,935.13",134,135.99
"1,632.00","1,655.99",15,"1,782.14",784.67,997.47,"1,933.14","1,935.13",136,137.99
"1,656.00","1,679.99",14,"1,781.14",784.67,996.47,"1,933.14","1,935.13",138,139.99
"1,680.00","1,703.99",13,"1,780.14",784.67,995.47,"1,933.14","1,935.13",140,141.99
"1,704.00","1,727.99",12,"1,779.14",784.67,994.47,"1,933.14","1,935.13",142,143.99
"1,728.00","1,751.99",11,"1,778.14",784.67,993.47,"1,933.14","1,935.13",144,145.99
"1,752.00","1,775.99",10,"1,777.14",784.67,992.47,"1,933.14","1,935.13",146,147.99
"1,776.00","1,799.99",9,"1,776.14",784.67,991.47,"1,933.14","1,935.13",148,149.99
"1,800.00","1,823.99",8,"1,775.14",784.67,990.47,"1,933.14","1,935.13",150,151.99
"1,824.00","1,847.99",7,"1,774.14",784.67,989.47,"1,933.14","1,935.13",152,153.99
"1,848.00","1,871.99",6,"1,773.14",784.67,988.47,"1,933.14","1,935.13",154,155.99
"1,872.00","1,895.99",5,"1,772.14",784.67,987.47,"1,933.14","1,935.13",156,157.99
"1,896.00","1,919.99",4,"1,771.14",784.67,986.47,"1,933.14","1,935.13",158,159.99
"1,920.00","1,943.99",3,"1,770.14",784.67,985.47,"1,933.14","1,935.13",160,161.99
"1,944.00","1,967.99",2,"1,769.14",784.67,984.47,"1,933.14","1,935.13",162,163.99
"1,968.00","1,991.99",1,"1,768.14",784.67,983.47,"1,933.14","1,935.13",164,165.99
"1,992.00","2,015.99",0,"1,767.14",784.67,982.47,"1,933.14","1,935.13",166,167.99
"2,016.00","2,039.99",0,"1,766.14",784.67,981.47,"1,934.14","1,936.13",168,169.99
"2,040.00","2,047.99",0,"1,765.14",784.67,980.47,"1,935.14","1,935.80",170,170.66
"2,048.00","2,063.99",0,"1,764.14",784.67,979.47,"1,934.81","1,936.13",170.67,171.99
"2,064.00","2,087.99",0,"1,763.14",784.67,978.47,"1,935.14","1,937.13",172,173.99
"2,088.00","2,095.99",0,"1,762.14",784.67,977.47,"1,936.14","1,936.80",174,174.66
"2,096.00","2,111.99",0,"1,761.14",784.67,976.47,"1,935.81","1,937.13",174.67,175.99
"2,112.00","2,135.99",0,"1,760.14",784.67,975.47,"1,936.14","1,938.13",176,177.99
"2,136.00","2,143.99",0,"1,759.14",784.67,974.47,"1,937.14","1,937.80",178,178.66
"2,144.00","2,159.99",0,"1,758.14",784.67,973.47,"1,936.81","1,938.13",178.67,179.99
"2,160.00","2,183.99",0,"1,757.14",784.67,972.47,"1,937.14","1,939.13",180,181.99
"2,184.00","2,191.99",0,"1,756.14",784.67,971.47,"1,938.14","1,938.80",182,182.66
"2,192.00","2,207.99",0,"1,755.14",784.67,970.47,"1,937.81","1,939.13",182.67,183.99
"2,208.00","2,231.99",0,"1,754.14",784.67,969.47,"1,938.14","1,940.13",184,185.99
"2,232.00","2,239.99",0,"1,753.14",784.67,968.47,"1,939.14","1,939.80",186,186.66
"2,240.00","2,255.99",0,"1,752.14",784.67,967.47,"1,938.81","1,940.13",186.67,187.99
"2,256.00","2,279.99",0,"1,751.14",784.67,966.47,"1,939.14","1,941.13",188,189.99
"2,280.00","2,287.99",0,"1,750.14",784.67,965.47,"1,940.14","1,940.80",190,190.66
"2,288.00","2,303.99",0,"1,749.14",784.67,964.47,"1,939.81","1,941.13",190.67,191.99
"2,304.00","2,327.99",0,"1,748.14",784.67,963.47,"1,940.14","1,942.13",192,193.99
"2,328.00","2,335.99",0,"1,747.14",784.67,962.47,"1,941.14","1,941.80",194,194.66
"2,336.00","2,351.99",0,"1,746.14",784.67,961.47,"1,940.81","1,942.13",194.67,195.99
"2,352.00","2,375.99",0,"1,745.14",784.67,960.47,"1,941.14","1,943.13",196,197.99
"2,376.00","2,383.99",0,"1,744.14",784.67,959.47,"1,942.14","1,942.80",198,198.66
"2,384.00","2,399.99",0,"1,743.14",784.67,958.47,"1,941.81","1,943.13",198.67,199.99
"2,400.00","2,423.99",0,"1,742.14",784.67,957.47,"1,942.14","1,944.13",200,201.99
"2,424.00","2,431.99",0,"1,741.14",784.67,956.47,"1,943.14","1,943.80",202,202.66
"2,432.00","2,447.99",0,"1,740.14",784.67,955.47,"1,942.81","1,944.13",202.67,203.99
"2,448.00","2,471.99",0,"1,739.14",784.67,954.47,"1,943.14","1,945.13",204,205.99
"2,472.00","2,479.99",0,"1,738.14",784.67,953.47,"1,944.14","1,944.80",206,206.66
"2,480.00","2,495.99",0,"1,737.14",784.67,952.47,"1,943.81","1,945.13",206.67,207.99
"2,496.00","2,519.99",0,"1,736.14",784.67,951.47,"1,944.14","1,946.13",208,209.99
"2,520.00","2,527.99",0,"1,735.14",784.67,950.47,"1,945.14","1,945.80",210,210.66
"2,528.00","2,543.99",0,"1,734.14",784.67,949.47,"1,944.81","1,946.13",210.67,211.99
"2,544.00","2,567.99",0,"1,733.14",784.67,948.47,"1,945.14","1,947.13",212,213.99
"2,568.00","2,575.99",0,"1,732.14",784.67,947.47,"1,946.14","1,946.80",214,214.66
"2,576.00","2,591.99",0,"1,731.14",784.67,946.47,"1,945.81","1,947.13",214.67,215.99
"2,592.00","2,615.99",0,"1,730.14",784.67,945.47,"1,946.14","1,948.13",216,217.99
"2,616.00","2,623.99",0,"1,729.14",784.67,944.47,"1,947.14","1,947.80",218,218.66
"2,624.00","2,639.99",0,"1,728.14",784.67,943.47,"1,946.81","1,948.13",218.67,219.99
"2,640.00","2,663.99",0,"1,727.14",784.67,942.47,"1,947.14","1,949.13",220,221.99
"2,664.00","2,671.99",0,"1,726.14",784.67,941.47,"1,948.14","1,948.80",222,222.66
"2,672.00","2,687.99",0,"1,725.14",784.67,940.47,"1,947.81","1,949.13",222.67,223.99
"2,688.00","2,711.99",0,"1,724.14",784.67,939.47,"1,948.14","1,950.13",224,225.99
"2,712.00","2,719.99",0,"1,723.14",784.67,938.47,"1,949.14","1,949.80",226,226.66
"2,720.00","2,735.99",0,"1,722.14",784.67,937.47,"1,948.81","1,950.13",226.67,227.99
"2,736.00","2,759.99",0,"1,721.14",784.67,936.47,"1,949.14","1,951.13",228,229.99
"2,760.00","2,767.99",0,"1,720.14",784.67,935.47,"1,950.14","1,950.80",230,230.66
"2,768.00","2,783.99",0,"1,719.14",784.67,934.47,"1,949.81","1,951.13",230.67,231.99
"2,784.00","2,807.99",0,"1,718.14",784.67,933.47,"1,950.14","1,952.13",232,233.99
"2,808.00","2,815.99",0,"1,717.14",784.67,932.47,"1,951.14","1,951.80",234,234.66
"2,816.00","2,831.99",0,"1,716.14",784.67,931.47,"1,950.81","1,952.13",234.67,235.99
"2,832.00","2,855.99",0,"1,715.14",784.67,930.47,"1,951.14","1,953.13",236,237.99
"2,856.00","2,863.99",0,"1,714.14",784.67,929.47,"1,952.14","1,952.80",238,238.66
"2,864.00","2,879.99",0,"1,713.14",784.67,928.47,"1,951.81","1,953.13",238.67,239.99
"2,880.00","2,903.99",0,"1,712.14",784.67,927.47,"1,952.14","1,954.13",240,241.99
"2,904.00","2,911.99",0,"1,711.14",784.67,926.47,"1,953.14","1,953.80",242,242.66
"2,912.00","2,927.99",0,"1,710.14",784.67,925.47,"1,952.81","1,954.13",242.67,243.99
"2,928.00","2,951.99",0,"1,709.14",784.67,924.47,"1,953.14","1,955.13",244,245.99
"2,952.00","2,959.99",0,"1,708.14",784.67,923.47,"1,954.14","1,954.80",246,246.66
"2,960.00","2,975.99",0,"1,707.14",784.67,922.47,"1,953.81","1,955.13",246.67,247.99
"2,976.00","2,999.99",0,"1,706.14",784.67,921.47,"1,954.14","1,956.13",248,249.99
"3,000.00","3,007.99",0,"1,705.14",784.67,920.47,"1,955.14","1,955.80",250,250.66
"3,008.00","3,023.99",0,"1,704.14",784.67,919.47,"1,954.81","1,956.13",250.67,251.99
"3,024.00","3,047.99",0,"1,703.14",784.67,918.47,"1,955.14","1,957.13",252,253.99
"3,048.00","3,055.99",0,"1,702.14",784.67,917.47,"1,956.14","1,956.80",254,254.66
"3,056.00","3,071.99",0,"1,701.14",784.67,916.47,"1,955.81","1,957.13",254.67,255.99
"3,072.00","3,095.99",0,"1,700.14",784.67,915.47,"1,956.14","1,958.13",256,257.99
"3,096.00","3,103.99",0,"1,699.14",784.67,914.47,"1,957.14","1,957.80",258,258.66
"3,104.00","3,119.99",0,"1,698.14",784.67,913.47,"1,956.81","1,958.13",258.67,259.99
"3,120.00","3,143.99",0,"1,697.14",784.67,912.47,"1,957.14","1,959.13",260,261.99
"3,144.00","3,151.99",0,"1,696.14",784.67,911.47,"1,958.14","1,958.80",262,262.66
"3,152.00","3,167.99",0,"1,695.14",784.67,910.47,"1,957.81","1,959.13",262.67,263.99
"3,168.00","3,191.99",0,"1,694.14",784.67,909.47,"1,958.14","1,960.13",264,265.99
